x,y,z,best_yaw_ang,best_pitch_ang
-569.641,-77.388,2.71018,30,0
-568.803,-82.4527,2.68117,60,0
-567.559,-87.6324,2.63692,60,0
-566.108,-92.7773,2.56393,90,0
-564.655,-97.8468,2.50053,120,0
-563.121,-102.676,2.43992,120,0
-561.664,-107.775,2.38353,120,0
-560.331,-112.612,2.35966,300,0
-558.934,-117.491,2.30868,330,0
-557.52,-122.403,2.25544,330,0
-556.008,-127.224,2.21421,0,0
-554.431,-131.972,2.1606,30,0
-552.549,-136.925,2.1559,60,0
-550.585,-141.678,2.15488,60,0
-548.358,-146.541,2.12799,300,0
-546.146,-151.172,2.12177,300,0
-543.691,-155.874,2.12177,300,0
-541.286,-160.302,2.106,300,0
-538.706,-164.739,2.10759,30,0
-535.893,-169.202,2.0969,60,0
-533.023,-173.567,2.05875,330,0
-530.058,-177.83,2.05062,330,0
-527.1,-182.037,2.02377,0,0
-524.051,-186.174,2.0515,0,0
-520.915,-190.104,2.05268,30,0
-517.681,-193.933,2.07176,60,0
-514.264,-197.678,2.08871,60,0
-510.724,-201.389,2.0826,90,0
-507.046,-205.176,2.05317,90,0
-503.378,-208.662,2.07452,120,0
-499.562,-212.153,2.07851,150,0
-495.6,-215.621,2.07672,150,0
-491.764,-218.89,2.11047,120,0
-487.797,-222.069,2.09994,330,0
-483.711,-225.144,2.09566,300,0
-479.517,-228.166,2.0856,330,0
-475.321,-231.034,2.07319,330,0
-471.043,-233.82,2.08376,0,0
-466.713,-236.451,2.08067,30,0
-462.343,-238.987,2.09077,330,0
-457.905,-241.315,2.11011,330,0
-453.157,-243.606,2.12264,300,0
-448.384,-245.666,2.14553,270,0
-443.641,-247.787,2.13046,270,0
-438.881,-249.817,2.11034,210,0
-434.098,-251.782,2.10496,180,0
-429.373,-253.738,2.1127,300,0
-424.653,-255.537,2.13855,300,0
-419.741,-257.229,2.13679,300,0
-414.773,-258.86,2.16164,270,0
-409.742,-260.389,2.14103,270,0
-404.792,-261.731,2.15542,240,0
-399.728,-262.943,2.16165,60,0
-394.648,-264.088,2.18314,60,0
-389.741,-265.062,2.18909,90,0
-384.528,-265.878,2.20978,270,0
-379.561,-266.521,2.1926,120,0
-374.59,-267.175,2.17057,240,0
-369.593,-267.777,2.1558,60,0
-364.428,-268.332,2.15445,60,0
-359.317,-268.83,2.16609,90,0
-354.144,-269.018,2.18306,90,0
-349.148,-268.477,2.17519,120,0
-344.313,-267.142,2.14533,150,0
-339.763,-264.711,2.12797,270,0
-335.995,-261.247,2.13259,60,0
-334.107,-256.543,2.07328,90,0
